text,created_at,id
Join me as I deliver remarks on the latest developments in New Orleans. https://t.co/7yr0la9fIm,2025-01-01 23:59:12+00:00,1874606330238963815
"I have been continually briefed since early this morning regarding the horrific incident that occurred in New Orleans overnight.

The FBI is taking the lead in the investigation and is investigating this incident as an act of terrorism. I will continue to receive updates… https://t.co/hJpthE97p3",2025-01-01 16:22:04+00:00,1874491289569251453
"Happy New Year, America! https://t.co/N3WQzbxvF1",2025-01-01 13:00:00+00:00,1874440439417246027
Here's to all that lies ahead in 2025. https://t.co/ORS71zSQCD,2024-12-31 16:47:10+00:00,1874135216970752280
"I’ve met some incredible folks over the past four years.
 
And this month, I finally got to show them the office. https://t.co/5h7El6gixU",2024-12-30 17:00:00+00:00,1873776059444867449
"Jimmy Carter lived a life measured not by words, but by deeds.

Just look at his life's work.

With his compassion and moral clarity, he lifted people up, changed lives, and saved lives all over the globe.",2024-12-30 02:45:01+00:00,1873560894975684777
"When I look at Jimmy Carter, I see a man not only for our times, but for all times. A man who embodied the most fundamental human values we can never let slip away.

And while we may never see his likes again, we would all do well to try to be a little more like Jimmy Carter. https://t.co/I0xDM05xmH",2024-12-30 01:52:07+00:00,1873547582552592516
Tune in as I deliver remarks on the passing of former President Jimmy Carter. https://t.co/uBeA38kmch,2024-12-30 00:16:43+00:00,1873523574775984596
"Over six decades, Jill and I had the honor of calling Jimmy Carter a dear friend. 
 
But, what’s extraordinary about Jimmy Carter, though, is that millions of people throughout America and the world who never met him thought of him as a dear friend as well. https://t.co/irknhZ6CJY",2024-12-29 23:17:13+00:00,1873508603623051508
"Today, America and the world lost an extraordinary leader, statesman and humanitarian. https://t.co/Ki7Rhbent0",2024-12-29 22:58:50+00:00,1873503977792225522
"I promised to make sure that higher education was a ticket to the middle class, not a barrier to opportunity.
 
Because of our actions, nearly 5 million Americans now have the breathing room to pursue life plans they had to put on hold because of the burden of student loan debt. https://t.co/4Eb2VRNRtN",2024-12-29 16:00:01+00:00,1873398578699280877
"I gave my word to the American people that as long as I was president, Social Security and Medicare would be protected.
 
I'm proud to have kept that promise. https://t.co/eukcrLMqzt",2024-12-28 16:58:35+00:00,1873050926732222951
"My final Hanukkah message to you as your president is this:
 
Hold on to hope. Shine your light of optimism. And above all, keep the faith. https://t.co/ujmD3EWxk3",2024-12-27 16:30:00+00:00,1872681347363344557
"This week, millions will gather with their families to light the seven candles of the Mishumaa Saba and commit themselves to the Seven Principles – from unity and self-determination to faith.
 
Jill and I hope that your Kwanzaa is blessed with peace and light this season. https://t.co/aQcZ3mLdGT",2024-12-26 18:00:00+00:00,1872341609582301407
"Earlier this year, it was a true honor to convene this vital coalition and discuss what we’re building together, in the place that built me: Delaware.
 
Challenges may come, but the Quad is here to stay. https://t.co/ILc0SbLDsJ",2024-12-26 16:10:03+00:00,1872313939721084981
"Two years ago, Jill and I introduced the first-ever White House Menorah made from historic wood sourced from the foundation.
 
As Hanukkah begins, it is displayed to make clear that the history of the Jewish life is woven into the fabric of America.
 
Like this menorah, it's… https://t.co/17OuZMR532 https://t.co/3lj946yE0H",2024-12-26 00:03:43+00:00,1872070753610272805
"There's a true selflessness in giving up a seat at your Christmas table to defend your country.

This Christmas, Jill and I spoke with service members serving around the world to share just how grateful we are for their courage and sacrifice. https://t.co/1pAi1HYdCB",2024-12-25 18:40:25+00:00,1871989393038131212
"Rabbi Sacks said: A people that can walk through a valley of shadow of death and still rejoice is a people that cannot be defeated by any force or fear.

That capacity for faith is the light of the Jewish people.

As Hanukkah begins, may it shine from menorahs around the world. https://t.co/fw91jGO6iH",2024-12-25 18:00:00+00:00,1871979219640590577
"For the last time as your president, it's my honor to wish all of America a very Merry Christmas.
 
My hope for our nation, today and always, is that we continue to seek the light of liberty and love, kindness and compassion, dignity and decency.
 
May God bless you all. https://t.co/bDAlaelaRT",2024-12-25 15:00:00+00:00,1871933921631330810
"Merry Christmas, America! https://t.co/LiiUKXiDqb",2024-12-25 13:05:16+00:00,1871905048403312972
"Folks, I've just received intel from the experts at @NoradSanta that Santa Claus is on his way! https://t.co/AMPnaT6qtx",2024-12-25 00:30:52+00:00,1871715198542729614
"May our nation be blessed with the peace and light of the holiday season.

Merry Christmas and Happy Holidays. https://t.co/C1gBvivNKU",2024-12-24 23:00:00+00:00,1871692330895319092
The People's House is ready for St. Nick. https://t.co/UE8MmsRHfr,2024-12-24 14:00:00+00:00,1871556433457693040
One of my favorite Christmas tails. https://t.co/DKCGb2U0Zf,2024-12-23 20:00:00+00:00,1871284645586727191
Congratulations to our 2024 Kennedy Center Honorees! https://t.co/dB9z0VwZui,2024-12-23 17:00:01+00:00,1871239349167161386
"I am commuting the sentences of 37 individuals on federal death row to life sentences without the possibility of parole.

This action is consistent with my Administration's moratorium on federal executions, except for cases involving terrorism and hate-motivated mass murder. https://t.co/Obxfytxxbb",2024-12-23 16:10:00+00:00,1871226763977601335
"During this season of reflection, I'm filled with gratitude for the service members and veterans I’ve met along the way – here at the White House and across America.
 
It's been the honor of my life to lead you, serve you, care for you, and defend you. https://t.co/sIDn1jjqGO",2024-12-22 16:30:02+00:00,1870869414704271669
Wishing your home peace and light this holiday season. https://t.co/EkfGMvp3GB,2024-12-21 23:06:44+00:00,1870606861419868342
"The Senate has confirmed the 235th federal judge during my presidency, the largest number of confirmations in a term in nearly 50 years.

Judges shape our lives.

I'm proud of those who heeded the call to serve, and of the legacy I'll leave with the men and women I've appointed. https://t.co/S3bJYkB4vd",2024-12-21 17:59:26+00:00,1870529524896510029
"Visiting the kids at Children's National Hospital to spread holiday cheer with a good book has become one of our favorite holiday traditions.
 
This year's visit was no different. https://t.co/4CSllzcY1z",2024-12-21 02:03:44+00:00,1870289017830339023
Tune in as the First Lady and I make a holiday visit to patients and families at Children’s National Hospital. https://t.co/jKU7XnBwLW,2024-12-20 19:16:17+00:00,1870186476937376027
"Happy 5th Birthday, Space Force! https://t.co/CSQnMnt6tW",2024-12-20 17:00:00+00:00,1870152181124608164
My Administration is investing in airports across America because we know that you can’t compete in the 21st century with 20th-century infrastructure. https://t.co/Oxl1XsBzFx,2024-12-20 16:15:00+00:00,1870140857195631059
"My Administration is announcing another 55,000 public service workers are approved for student debt relief – meaning nearly 5 million borrowers have received forgiveness, including over 1 million public servants.

Tanya and Chad know firsthand what that breathing room means. https://t.co/rZAUscXdLg",2024-12-20 15:00:23+00:00,1870122080617816522
"The 55,000 public servants approved for debt cancellation today are workers who have dedicated their lives to giving back to their communities.

Now, they are finally earning the relief they are entitled to under the law. https://t.co/mT3s1VXGG8",2024-12-20 14:14:27+00:00,1870110519127925181
"For decades, the Portal Bridge caused delays and frustration. Not anymore.

Thanks to my infrastructure investments, we’re replacing it with a modern bridge that’ll keep trains moving between New Jersey and New York – faster, safer, and built to last. https://t.co/3xGce9AZsV",2024-12-19 22:00:01+00:00,1869865297097711714
"Today, I'm building on my Administration's historic climate record by setting an ambitious new goal to cut greenhouse gas emissions by more than 60% by 2035.

We're the United States. Together, I know we can do this. https://t.co/hyhVJFBrlP",2024-12-19 13:01:00+00:00,1869729647170039926
"The next four years will determine whether the incoming administration builds on our economic progress.

If it does, then 10 or even 50 years from now, U.S. economic leadership will be even stronger than it is today – proving that when the middle class does well, we all do well.",2024-12-17 20:30:00+00:00,1869117866592661880
